Alternative Spring Breaks (ASB) (PBHA),"Alternative Spring Breaks runs public service trips during Spring Break. We travel to rural and urban areas throughout the eastern United States. We work closely with community organizations to (1) renovate homes, churches, community centers, and playgrounds; and (2) learn about the social, economic, and political issues affecting the region. There is time for fun activities like bowling, skating, and visiting national parks. With a motto of ??Community service, cultural exchange, and fun,?? ASB provides a worthwhile experience during Spring Break. For more information, please contact Eugen Taso (taso@fas), Chimaobi Amutah (amutah@fas), Shayak Sarkar (sarkar@fas), or Mae Bunagan, bunagan@fas).",asb@pbha.org,-
Alzheimer&#39;s Buddies,"Alzheimer??s Buddies is a response to the profound isolation and social disengagement experienced by people in the intermediate-to-late-stages of Alzheimer&#39;s disease (AD). It pairs local students with Alzheimer&#39;s buddies so that they might form meaningful relationships over the course of a semester or longer. Our initiative encourages students to take the mindset of a friend rather than of a care provider, to learn about their patients&#39; past and passions, to establish real friendships. This interaction not only provides patients with a unique outlet, but also provides students with a formative experience and formal training on this devastating disease.",alzheimersbuddies@pbha.org,http://hcs.harvard.edu/hcalzbuddies
Angling Club,-,tbd,-
Anime Society,"The Harvard Anime Society is an accessible resource for discussing the Japanese animation medium, as well as aspects of Japanese consumer culture contiguous to it. The organization aims to promote appreciation - even enthusiasm - for the global influence of anime.          While the main activity of the HAS is to show/discuss anime over good snacks, we do actively seek opportunities to serve the Harvard community via lectures, panels, and social events.",anime@hcs.harvard.edu,http://hcs.harvard.edu/~anime
Anscombe Society,"The Harvard College Anscombe Society promotes premarital sexual abstinence as a positive lifestyle alternative for personal, spiritual, and health reasons. We additionally advocate traditional marriage as a part of our philosophy regarding sexual integrity and ethics. Our group is non-sectarian and seeks to reach out to the greater campus community. Through our publicity efforts and campus events, we support and encourage Harvard students to remain strong in or renew their commitment to premarital abstinence and traditional marriage.",deid@college.harvard.edu,http://harvardcollegeanscombesociety.wordpress.com/
Applied Mathematics Society,"The Harvard Applied Mathematics Society is an organization of Harvard undergraduate students that promotes research and application of mathematics through education, recognition, and interconnection. It coordinates activities including presentations by notable applied mathematicians, volunteer efforts, information/networking sessions with relevant firms, community-building social events within the Applied Mathematics department, student research presentations, and student research publications. HAMS encourages exploration at the interface of mathematics and a diverse set of fields, bringing together students of all quantitative disciplines and facilitating academic discussion and social connection.",hams-board-2018@googlegroups.com,http://www.harvardappliedmath.org
Arab Review,-,tbd,-
Armenian Students Association,"Harvard College ASA is an organization in which Armenian students and other students at Harvard can cultivate and promote an appreciation and understanding of Armenian history, culture, and contemporary issues by organizing social, cultural, and educational activities.",harvardcollegeasa@gmail.com,-
Art Club,-,tbd,-
Asian American Association (AAA),"The Harvard-Radcliffe Asian American Association (est. 1976) is one of the oldest and largest cultural organizations at Harvard. Our aims are to represent the needs of the campus&#39; diverse Pan-Asian and Asian-American undergraduate community and be a diverse, nurturing family. AAA organizes a large variety of educational-political, cultural, outreach-mentorship, and social events throughout the year.                    Check us out on Facebook: https://www.facebook.com/fAAAmily/",harvard.aaa@gmail.com,http://www.hcs.harvard.edu/~hraaa/
Asian American Brotherhood (AAB),"We, the Asian American Brotherhood, have united ourselves in order to forge a stronger sense of unity among Asian Americans in our community and to foster solidarity without coercion. In promoting understanding and bonds across ethnic lines, the Asian American Brotherhood seeks to empower both our members and the communities that we serve.",achoi@college.harvard.edu,http://hcs.harvard.edu/aab
Asian American Christian Fellowship (AACF),"HRAACF is a multi-ethnic dynamic community committed to exploring faith and studying the Bible in a friendly, open environment. Our mission is to &quot;know God and make God known,&quot; with a missional focus on Asian American students. Our activities include Large Group Fellowship meetings, Family Group Bible studies, seasonal retreats, and much much more! Through good eats, fun games and refreshing retreats, we build strong relationships with each other. Come join the family and enrich your Harvard experience!",exec@hraacf.org,http://hcs.harvard.edu/~hraacf/
Asian American Dance Troupe (AADT),"For over twenty years, the Asian American Dance Troupe (AADT) has sought to spread an appreciation and awareness of Asian culture through dance. Our repertoire includes a diverse range of dance forms including traditional, ethnic minority, fusion, modern, and hip hop. Our pieces are student choreographed/arranged and feature both undergraduate and graduate school students of all races and ethnicities. We have a no-audition, all are welcome policy.",aadt.board@gmail.com,http://www.hcs.harvard.edu/~aadt
Asian American Women&#39;s Association,"The Asian American Women???s Association (AAWA) recognizes the need for a supportive, vocal community for Asian American women at Harvard. AAWA strives to address these needs through open and accessible dialogue and inclusive community-building events. By generating discussion about and spreading awareness of issues that pertain to the varied experiences of the members of our community, AAWA seeks to promote the prominence and concerns of Harvard???s female and non-binary Asian Pacific American population in a way that is accessible and pertinent to the greater Harvard community.",crimson.aawa@gmail.com,https://crimsonaawa.wixsite.com/harvardaawa
Asian Baptist Student Koinonia (ABSK),"Asian Baptist Student Koinonia is a Harvard campus group that seeks to live out God&#39;s commandments to love God and to love each other. Come and see what we have found to be the greatest treasure in this world or any other.        And in case you are wondering, koinonia means Fellowship in Christ!",harvard.absk91@gmail.com,http://www.absk.org/harvard/
Asian Student Arts Project,-,tbd,-
Association for the Promotion of Interplanetary Expansion (HAPIE),"The purpose of HAPIE is to bring together people interested in human settlement beyond earth and to engage such people in social activities, primarily board games. The long term goal is to advocate for and eventually achieve human settlements on other planets.",HAPIEcontact@gmail.com,https://lists.hcs.harvard.edu/mailman/admindb/hapie-announce
Association for U.S.-China Relations (HAUSCR),"HAUSCR gives Harvard students the chance to create life-changing programs that impact thousands of students across China. Our 3 conferences, HSYLC, China Thinks Big and H-Week, impact over 3000+ students each year and open new channels of exchange, with an emphasis on training and educating future leaders of the US and China.     Through innovative programs that focus on collaborative learning, leadership and entrepreneurship education, and cross-cultural communication, HAUSCR seeks to endow promising high-potential students in China and the U.S. with a set of knowledge and skills that will equip them better for the leadership demands of an increasingly interdependent world.          In the long run, HAUSCR hopes to contribute to US-China relations and global development through nurturing future leaders with a more multicultural perspective and preparing them for the challenges of a globalizing society.",harvard.auscr@hauscr.org,http://www.hauscr.org
Association of Black Harvard Women (ABHW),"The Association of Black Harvard Women (ABHW) was founded in 1975, through a unanimous decision by 65 black Radcliffe women. Our mission is to strengthen the bonds of black sisterhood through community discussion, social action and public service. The Association of Black Harvard Women currently serves a membership of over 100 Harvard undergraduates with discussions addressing pertinent issues affecting black women and community service events such as the voter registration drives and the Alberta V. Scott Mentorship Program.",blackharvardwomen@gmail.com,http://abhwomen.org
Association of Practice and Learning of Yan Xin Life Science &amp; Technology,To learn Yan Xin Life Science and Technology in the Harvard community.,YXLSTHarvard@gmail.com,-
Athena Conference,"The Athena conference is an annual leadership conference that is planned and led by Harvard undergraduates for high school women in Boston-area high schools. It is aimed towards raising empowerment, activism, and awareness of women&#39;s issues through a day-long conference that includes a guest speaker, workshops, a Rape Aggressive Defense Class, and a Coffeehouse.",maurice@fas.harvard.edu,-
Australian Undergraduate Society (AUS),The Australian Undergraduate Society at Harvard College is concerned with creating a forum for Australian affairs and the celebration of Australian culture. The organization will facilitate events to mark important Australian events such as Australia Day and ANZAC day. The organization will partner with other organizations to promote discussions of Australian issues and opportunities within Australia. AUS will liaise with the university-wide club to organize the annual ANZ Harvard dinner.,harvardaus@gmail.com,-
Bach Society Orchestra (BachSoc),"The Bach Society Orchestra is Harvard&#39;s only free-ticket undergraduate orchestra, devoted to performing great pieces from every time period and bringing high-quality, free classical music to the Harvard and Greater Cambridge community.",bachsoc@hcs.harvard.edu,http://hcs.harvard.edu/~bachsoc
Backgammon Society,,tbd,https://www.facebook.com/HarvardCollegeBackgammon/
Baha&#39;i Association,"The purpose of the Baha&#39;i Association is to represent the Baha&#39;i student body at Harvard, and to share the Baha&#39;i Faith with the Interfaith and Harvard communities at large.    We aim to promote the unity of mankind; to foster love and fellowship; to invite those interested to meaningfully discuss and explore both the teachings of the Baha&#39;i Faith and their application to their lives; to organize activities that nurture collective and individual spiritual growth.",harvardbahai.assoc@gmail.com,-
Ballet Company,"Harvard Ballet Company performs classical ballet, contemporary ballet, and modern dance, featuring choreography by alumnae, company members, and professional guest artists. HBC appears in benefit performances both on and off-campus and in the Dance Festival at ARTS FIRST.",harvardballetcompany@gmail.com,http://www.harvardballetcompany.org
Baltic Society,-,tbd,-
Baroque Chamber Orchestra,"The award-winning Harvard College Baroque Chamber Orchestra is a musical ensemble that has been active in and around Harvard for nearly 20 years. It is the only orchestra on campus that is specifically focused on Baroque repertoire. Our goals are:                    -To provide a safe, enjoyable place for musicians to develop their musical talents                    -To teach, perform and promote the techniques and pieces of Baroque composers                    -To educate the Harvard, greater Boston and New England communities about Baroque music and encourage listeners to support its perpetuation                              The orchestra performs two major concerts a year in the Memorial Church and a handful of chamber music recitals in locations around campus. Notable guest performers include soprano Dominique LaBelle, tenor Frank Kelley and keyboardist Ton Koopman.",harvardbaroque@gmail.com,http://harvardbaroque.org/
Beekeepers,"We aim to spread awareness to Harvard and the greater community about the place of honeybees in our environments, cultures, and economies. We also provide students with hands-on beekeeping experience and discussions about beekeeping, agricultural, ecology, and food systems to better understand the important role of bees in our world.",harvardbeekeepers@gmail.com,https://www.facebook.com/HarvardUndergraduateBeekeepers
Best Buddies (PBHA),"Harvard&#39;s Best Buddies chapter is part of the international organization that matches individuals with intellectual disabilities in one-to-one friendships with their non-disabled peers. Students who become Peer Buddies are expected to contact their Buddy weekly and participate in two activities per month. In the past, individuals with intellectual disabilities have not had the opportunity to have friends outside of their own environment, and we are similarly limited at Harvard. Many buddy pairs go on to be lifelong friends - and there are many fun group activities and outings for the entire chapter throughout the year.",bestbuddies@pbha.org,-
Bhangra,"Harvard College Bhangra is Cambridge&#39;s up and coming co-ed Bhangra dance team. Bhangra is a traditional dance form that originated in Punjab, India and is known for its vibrant costumes and energetic dance moves. Since 1998, our team of passionate dancers has been committed to sharing our culture through dance with the Harvard community and beyond. From performances at Columbia University&#39;s Bhangra in the Heights showcase to Harvard&#39;s very own Cultural Rhythms and Eleganza, we hope to inspire in others the love we have for Bhangra.",harvardbhangra@gmail.com,http://www.harvardbhangra.org/
Bioethics Society,"The goal of the Harvard Undergraduate Bioethics Society (HUBS) is to examine ethical issues brought forth by advances in science and medicine through discussion, investigation, research, and analysis of biology, biotechnology, genetics, medicine, theology, philosophy, politics, law, and other relevant topics that affect ethical decision-making on our campus and in our world.",hubs.harvard@gmail.com,http://www.hcs.harvard.edu/bioethics
Biomedical Engineering Society (BMES),"It is our goal to create a community around biomedical engineering as an academic venture and disseminate knowledge of the discipline throughout the college. Through a speaker series, study breaks, and a family initiative, we plan to inform the community of the opportunities in the biomedical engineering fields, and inspire further research and investigation into the field. One of our primary goals is to cultivate a supportive community among the students, faculty, and administration in BME at Harvard and provide access points for mentorship, support, and connection. In addition, we hope to use BMES as a medium for the community to express their voice for any issues or concerns they have about the field.",harvard.seas.bmes@gmail.com,-
Biotechnology Association,"The Harvard Undergraduate Biotechnology Association (HBio) is the largest group on campus dedicated to showcasing developments in biotech and helping undergraduates explore alternative careers in the life sciences.           HBio provides a forum to learn about various industries applying the life sciences including but not limited to biotechnology, pharmaceuticals, consulting, patent law, and finance. Events hosted include keynote panels, dinners with various faculty and industry leaders, off-campus company tours, company info-sessions, and social events to connect students in science.",biotechassoc@gmail.com,http://www.hbiotech.com
Black Men&#39;s Forum (BMF),"The Harvard Black Men&#39;s Forum catalyzes the agency of Harvard undergraduate black males. We support our members through our core pillars of brotherhood, manhood, and fidelity. Working with faculty and national figures, we provide a forum for discussion and action on issues pertinent to our body. We additionally seek to provide support for disadvantaged members of this country through various service initiatives like the David Walkers Scholars Program, a tutoring and mentoring program.",harvardbmf@gmail.com,http://harvardbmf.org
Black Pre-Law Association (BPLA),"The Harvard College Black Pre-Law Association is dedicated to providing exposure, information, and resources to minority students, black students in particular, about pursuing entrance into legal institutions and careers involving law. Although, aiding the minority pre-law population is primarily our goal, exposure is not exclusive to those who are underrepresented. We aim to inform and be beneficial to all who are interested in pursuing law. We seek to offer resources that will enhance education, service, and support opportunities for all students, while, specifically targeting the minority groups who are underrepresented as members of the legal community. Furthermore, it is the responsibility of the officers to attract recruiters and speakers who will reflect the primary goal of ensuring that more students from these groups will be provided with resources such that they will be more competitive students for law school admission.",harvardbpla@gmail.com,http://www.harvardbpla.org
Black Premedical Society,-,tbd,-
Black Students Association (BSA),"The purpose of the Harvard Black Students&#39; Association is to establish a sense of community, or more appropriately, communities. The BSA shall endeavor to establish and promote interaction among black students at Harvard College. In addition, the BSA shall endeavor to promote interaction among all members of the Harvard community. As a means to the aforementioned goals the BSA shall organize venues and channels to address those issues.",harvard.bsa@gmail.com,http://www.hcs.harvard.edu/bsa
BlackC.A.S.T.,"The purpose of BlackC.A.S.T (Black Community &amp; Student Theatre) is to provide practical experience on all aspects of live theater (artistic and technical), with assistance from those knowledgeable and/or experienced in the dramatic arts, in an educational and recreational atmosphere. All activities of Black C.A.S.T. shall be undertaken for the primary purpose of stimulating interest and support in Black Theater on the Harvard campus and the immediate community. These goals shall be achieved through the sponsorship and production of plays, workshops and other theatrical endeavors, which are in keeping with the spirit of the aforementioned goals. From BlackC.A.S.T., several of the largest productions on campus have been formed, including Eleganza. Our membership across all productions and activities consists of over 130 students.                    Membership in this organization shall be open to all students in good standing currently enrolled in Harvard College, regardless of race, creed, color, sex, gender identity, sexual orientation, or ability status.",blackcast.harvard@gmail.com,-
Blockchain Group (HUBG),"Since 2009, blockchain technology has emerged as a tool with the potential of disrupting various sectors of our society, including the banking, cybersecurity, and healthcare industries.  Our club aims to foster intellectual discourse surrounding blockchain by offering members the opportunity to join committees focused on investing, learning, and mentorships. ",contact@hubg.club,https://www.hubg.io
Book Review,"On its website and in its quarterly printed edition, the Harvard Book Review takes a critical look at fiction, non-fiction, and poetry and publishes in-depth feature essays on broader trends in contemporary thought and literature. Writers receive free advance copies of the books they select from publishers&#39; catalogs. The HBR holds workshops to hone skills and to give contributors a sense of professional criticism. Students have opportunities to write and edit reviews or essays, create art, design issues, and manage finances.",harvardbookreview.president@gmail.com,-
Boston Refugee Youth Enrichment (BRYE) Extension (PBHA),"BRYE Extension teaches an enrichment curriculum to Vietnamese refugee children after school in a small classroom setting. One class, ranging in age from 6 to 8, focuses on improving English and reading skills. A second class of 9 to 12 year olds, whose English skills are more advanced, learns about Science through interactive experiments and activities. The program runs from 4:00 to 5:30 on Friday afternoons. Extension is looking to expand this year to include a third class of elementary students. You don&#39;&#39;t need to speak Vietnamese to join - a smile and some creativity will do! Please contact Michael Nguyen (mlnguyen@fas) or Eleanor Wilking (ewilking@fas).",bryeextension@pbha.org,-
Boston Refugee Youth Enrichment Afterschool (BRYE) (PBHA),"RYTE is a weekly tutoring program that serves high school students from Boston&#39;s diverse and ever-increasing refugee populations, from Kosovo, Somalia, Vietnam, and Ethiopia. The program pairs Harvard undergraduates with high school students in need of help with English skills, SAT preparation, or other academic subjects. What makes RYTE a unique program is the type of students we cater to: high school students, ages 15-19, who have been in the U.S. anywhere from 1 month to 7 years. Many of these refugees are expected to attend college after high school by parents and family members, or to work, and so RYTE helps them prepare for college through SAT preparatory classes. Without the ability to achieve high grades in the classroom, where they are competing with native Americans, or even to speak the language, it is extremely difficult for these refugees to keep up and have chances at a bright future.          Tutors and tutees meet weekly on Friday, Saturday or Sunday. Friday sessions take place at English High School in Jamaica Plain from 2 p.m. until 4 p.m. Saturday and Sunday sessions take place here at Harvard from 10 a.m. until 12 p.m. (Tutors meet their students at the Harvard Square T-stop, and then work together in campus classrooms.) RYTE also sponsors two weekend field trips to help students adjust to the American lifestyle. Please contact Kay Lee (lee32@fas) with any questions. RYTE hopes to continue this tradition of guidance to the high school refugee population. We need your passion and dedication!",tbd,-
Boston Refugee Youth Enrichment Summer Program (BRYE Summer) (PBHA),"BRYE Summer has provided academic and emotional support to Southeast Asian refugee children and their families since 1987. This summer we will once again serve about 90 children from over 15 countries, but mainly Vietnam, Dominican Republic, and Cape Verde, ages 6 to 14 in Dorchester. Each college-aged Senior Counselor (SC) with the assistance of a high school-aged JC will lead a class of ten children. BRYE Summer prioritizes ESL instruction, but SCs design their own curricula and can teach any subject during each day&#39;s three hours of classroom time. SCs also lead their classes on afternoon field trips in the Greater Boston area and one weekend camping trip. BRYE Summer SCs work with refugee students and families of amazing inner strength. Our SCs also benefit from a summer spent living and working with each other in an energetic, dedicated, and supportive community. SCs receive free housing and an approximately $3400 stipend. BRYE Summer will run for two weeks of training and seven weeks of classes.",brye@pbha.org,http://www.hcs.harvard.edu/~brye
Brattle Street Chamber Players,"As a conductorless string chamber orchestra, Brattle Street Chamber Players brings an intimate and dynamic approach to a broad-ranging repertoire of standard, seldom performed, and newly composed music for strings.",bscpharvard@gmail.com,http://www.brattlestreetchamberplayers.com
Brazilian Association (HUBA),The goal of the Harvard Undergraduate Brazilian Association (HUBA) is to bring together students from or interested in Brazil in an effort to foster networking opportunities and to increase awareness of Brazilian culture and tradition through cultural events.,harvardbrazilianassociation@gmail.com,-
Breakers,"The Harvard Breakers Organization is a group of students who get together to learn and appreciate several forms of street dance including bboying (commonly known as breaking or breakdancing) and popping. In addition to holding practices where members learn from each other and from local street dancers, members appear in dance performances and attend breaking and funk dance jams or competitions together. No experience necessary! For more information, please join our email list or email tchang@college.harvard.edu.",harvardbreakersorganization@gmail.com,-
Bridge Club,-,tbd,-
British Club,"The Harvard College British Club is dedicated to providing services to students interested in Britain and its culture. Our events will include recreational events of a specifically British nature, celebrations of British holidays, and special events in relation to political and athletic events in Britain. We also aim to create a support network for students from Britain in their transition to life at an American college and to maintain links with graduates belonging to the Harvard Club of the United Kingdom. Another element of the Club&#39;s goals is outreach: to provide information and advice to applying and accepted students.",theharvardbritishclub@gmail.com,http://www.hcs.harvard.edu/hcbc/about-us/
BRYE Teen Mentoring (Boston Refugee Youth Enrichment Teen- PBHA),"BRYE Teen is a program for 13-17 year-old multi-ethnic immigrant youth in Dorchester. Teen has a different focus?not just academics or mentoring, but also youth development and empowerment/diversity training. We meet every Saturday from 4-6 in Dorchester, and spend the first hour of program doing homework help and test prep and the second hour doing enrichment activities. Last year, we explored the theme of art and community and explored other modes of expression through music and art. We read people&#39;&#39;s immigration stories, watched a youth-created documentary, and watched spoken word poetry. Each semester, we also work on a project. We finished a photography project where the teens take pictures of their community and what is important to them, and add text to tell a story. Our volunteers build long-lasting relationships with the teens, and also gain facilitation skills, as we take turns leading the discussion groups and activities. Your talents, ideas and creativity are an important part of the program!",bryeteen@pbha.org,-
Bulgarian Club,"Originally, the purpose of The Club has been to serve as a uniting entity of the Bulgarian students at Harvard. Thus, the main activities organized were gatherings to celebrate traditional Bulgarian holidays, the birthdays of the members, and a few other informal meetings. Quickly, the role of The Club changed dramatically.      Now it not only serves its original purposes, but extends to acting as an informational kernel of the Bulgarian student society throughout the United States.      The Harvard Bulgarian Club is concerned with the political, social, and cultural issues regarding Bulgaria. The group will seek to promote greater awareness and understanding of these issues in the Harvard community by appropriate means such as publications, meetings, seminars, concerts, exhibitions and other activities.      The Bulgarian club also organizes very successful food events promoting delicious Bulgarian dishes and culture.",harvardbulgarianclub@gmail.com,http://harvardbulgarianclub.com/
Cambridge Afterschool Program (CASP) (PBHA),CASP focuses on providing affordable and accessible after school programming for low-income Cambridge youth. CASP is an after school tutoring / academic enrichment program. CASP runs four days a week (Monday through Thursday) from 3:30 to 5:30 (as schools in Cambridge get out between 2:00pm and 3:00pm). The first hour consists of homework help and the second hour is dedicated to academic and self-enrichment. There will also be Saturday field trips which will occur once a month. Cambridge After School Program is a PBHA program that continues the work of PBHA&#39;s Cambridge Youth Enrichment Program (a summer camp) through the term.,casp@pbha.org,-
Cambridge Youth Enrichment Program (CYEP) (PBHA),"The Cambridge Youth Enrichment Program (CYEP) is a 7-week summer camp serving the North Cambridge, Central Square, and East Cambridge areas. Campers range in age from 7 to 12, are primarily African-American and Latino, and many come from low-income, single parent families. CYEP provides campers with a variety of educational and recreational summer activities that they would otherwise be unable to afford. Each morning a Junior and Senior Counselor lead a group of ten campers through lessons designed to be enjoyable while providing social and academic enrichment. Afternoons are spent exploring Boston, or just relaxing at the pool. Counselors design their own curriculum to strike a balance between structured learning and good old summer fun. CYEP is unique in that it is the largest PBH summer program, serving 140 children between its three sites. CYEP is also the only program that serves Cambridge, and it fills an important role, representing the college in the surrounding community. A Senior Counselor position with the Cambridge Youth Enrichment Program translates into a summer that is intense and challenging, but also extremely meaningful and enjoyable.",CYEP@pbha.org,http://pbha.org/programs/cambridge-youth-enrichment-program/
Camp Kesem,-,tbd,-
Canadian Club,"The Harvard Canadian Club [hereafter referred to as HCC] is dedicated to the goal of unifying the members of the Harvard community interested in Canadian culture and issues. The activities of the HCC shall include, but not be limited to:          -Holding social functions, both general, and of a distinctly Canadian nature;      -Organizing speakers on Canadian issues;      -Holding special events relating to important political, athletic, and social occurrences in Canada;     -Working to maintain a Canadian identity on campus;     -Connecting undergraduates of all nationalities with employment opportunities in Canada.",harvardcanadianclub@gmail.com,-
Cancer Society,"The Harvard Cancer Society is an umbrella organization comprised of seven service programs that educate and mobilize volunteers in the fight against cancer. Through education, advocacy, fundraising, and outreach - and driven by the vision of a cancer-free society - the Harvard Cancer Society strives to prevent and eliminate cancer, to heighten cancer awareness, to celebrate survivorship, and to support individuals and families affected by cancer, both on the Harvard campus and in the broader community.",hccancersociety@gmail.com,http://thehub.college.harvard.edu/org/harvardcancersociety160837
Candela Dance Troupe,Harvard Candela Dance Troupe is a student run dance group that performs Latin dance at a variety of Harvard events. We are a non-competitive dance group that seeks to promote Latin dance in the Harvard community and create ties between arts and the greater student body through the love of dance.,candeladancetroupe-list@lists.hcs.harvard.edu,http://www.hcs.harvard.edu/~candela/
Capital Partners and Equity Group,-,tbd,-
Card Games Club,,tbd,-
Caribbean Club,"The purpose and intent of the Harvard Caribbean Club shall be:          1. To promote a better understanding and a greater awareness within the University and surrounding communities of the peoples, affairs and culture of the Caribbean through the sponsorship of cultural events.          2. To foster a greater sense of community among students of Caribbean ancestry within the college and Greater Boston.",harvardcaribbeanclub@gmail.com,-
Catholic Student Association (CSA),"The CSA strives to build up the Catholic community at Harvard and the community of its members through worship and public service, and to broaden the social, spiritual, and intellectual horizons of its members.",harvardcatholic@gmail.com,https://harvardcatholic.org
CEB,"Mission    The College Events Board is a student-led co-curricular programming board that enhances the overall holistic development of the student population by planning, promoting, and presenting a variety of events designed to serve the multicultural, educational, recreational and social interests of the students of Harvard College. By hosting these events the College Events Board strives to bring diverse groups of students together to enhance the student involvement experience and create a campus atmosphere that addresses student needs outside of the classroom.        Purpose    To provide a wide variety of programs and activities meant to enhance, educate and entertain the entire Harvard College community.    To provide leadership and fellowship opportunities for its members.    To provide quality programming to all college students that will cover a wide area of interest.    To perform, in cooperation with Harvard College authorities, any other services deemed beneficial to Harvard College.        Core Values    Teamwork: The College Events Board shall strive to create a network of members this is tied together by communication, friendship and cooperation that works towards building lasting ties with the Harvard community.    Diversity: The College Events Board shall provide the same opportunities and privileges to the students it serves without discrimination or prejudice based on a student&#39;s race, creed, color, sex, national origin, sexual orientation, religious views or affiliation, political views or affiliation, marital status, or condition of disability.         Integrity: The College Events Board shall conduct business in accordance with the highest standards of professional behavior and ethics.    Leadership: The College Events Board shall provide opportunities for students to learn, grow, and develop into quality leaders.     Excellence: The College Events Board shall promote a culture of excellence throughout the organization through consistent and effective training, a commitment to inclusion, implementing transformative and impactful personal development strategies, providing quality programs, and an unwavering commitment to serve and unify the interest of the students of the Harvard College community.    Innovation: The College Events Board shall create new, improve existing and enhance the quality and quantity of student engagement opportunities.    ",ceb@fas.harvard.edu,http://www.collegeeventsboard.com
Centrist Society,-,tbd,-
Chado Society,"The Harvard-Radcliffe Chado Society seeks to spread the Way of Tea, or Japanese Tea Ceremony (chanoyu). Through weekly gatherings and community demonstrations, we strive to increase the knowledge, understanding, and appreciation of this classical art.",chado@hcs.harvard.edu,http://hcs.harvard.edu/~chado/
